"_id__$oid","last_updated__$date","|","|__odour","|__time","|__ph","|__total_alkalinity","|__mlss","|__do","|__percent_settlement","|__svi","|__cod","|__tss","|__ammonia","|__phosphate","|__sulphide","|__bod","|__dosing_mode","|__flow","|__applied_dose","|__fecl3_concentration_percent","|__fecl3_consumption","|__fecl3_concentration_ppm","|__dose_rate","|__$date","|__$oid","is_deleted","custom_dosing_data__dosing_mode","custom_dosing_data__flow","custom_dosing_data__applied_dose","custom_dosing_data__fecl3_concentration_percent","custom_dosing_data__fecl3_consumption","custom_dosing_data__fecl3_concentration_ppm","custom_dosing_data__dose_rate","raw_sewage__odour","raw_sewage__time","raw_sewage__ph","raw_sewage__cod","raw_sewage__tss","raw_sewage__ammonia","raw_sewage__phosphate","raw_sewage__sulphide","raw_sewage__bod","inlet_channel__odour","inlet_channel__time","inlet_channel__ph","inlet_channel__cod","inlet_channel__tss","inlet_channel__ammonia","inlet_channel__phosphate","inlet_channel__sulphide","inlet_channel__bod","inlet__odour","inlet__time","inlet__ph","inlet__cod","inlet__tss","inlet__ammonia","inlet__phosphate","inlet__sulphide","inlet__bod","pst_inlet__odour","pst_inlet__time","pst_inlet__ph","pst_inlet__cod","pst_inlet__tss","pst_inlet__ammonia","pst_inlet__phosphate","pst_inlet__sulphide","pst_inlet__bod","pst_outlet__odour","pst_outlet__time","pst_outlet__ph","pst_outlet__cod","pst_outlet__tss","pst_outlet__ammonia","pst_outlet__phosphate","pst_outlet__sulphide","pst_outlet__bod","at__odour","at__time","at__ph","at__mlss","at__do","at__percent_settlement","at__svi","fst__odour","fst__time","fst__ph","fst__cod","fst__tss","fst__ammonia","fst__phosphate","fst__sulphide","fst__do","remarks","date","user_id","odour_id","analysis_id","createdAt__$date","updatedAt__$date","__v","bod_date_time","updated_by"
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-25T09:23:05.253Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-25T09:24:21.997Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60fe8d111a798500105d1f19","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-26","60f145d12287270012a59b6a","","z5es51k0ky","","","0","2021-07-23T15:53","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-23T08:48:02.795Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","11220","1.5","10","16.83","100000","168.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","","7.2","","","","","","280","342","44","4","4.4","182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","odourless","","7.2","","","","","","210","308","30","3.4","1.6","138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","odourless","","7.3","","","","","","200","306","28","3","2.2","118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","mildodour","","7.3","","","","","","260","328","28","3.2","3.6","152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.5","","","","","","190","316","25","2.2","3.2","108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","odourless","","7.3","","1960","0.48","5","25.510204081632654","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","","7.6","","","0.42","","","140","78","20","2","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-26T10:23:13.318Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-26T10:24:48.055Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60ffdd2510a415001369adbe","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-27","60f145d12287270012a59b6a","","u64ge9ue58","","","0","2021-07-24T15:49","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-27T00:00:47.74Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","12410","1.5","10","18.615","100000","186.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","","7.2","","","","","","","282","40","4.1","4.4","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","odourless","","7.2","","","","","","","266","38","3.8","0.8","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","mildodour","","7.3","","","","","","","230","35","3.6","1.2","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","mildodour","","7.3","","","","","","","298","30","3.1","2.4","110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.4","","","","","","","292","25","2.9","1.6","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","odourless","","7.5","","2760","0","5","18.115942028985508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","","7.6","","","0","","","","48","20","2.2","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-27T10:17:09.193Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-27T10:19:24.846Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","6101299f10a415001369ae12","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-28","60f145d12287270012a59b6a","","smw1okl2mw","","","0","2021-07-25T15:26","null"
