_id__$oid,last_updated__$date,is_deleted,custom_dosing_data__dosing_mode,custom_dosing_data__applied_dose,custom_dosing_data__applied_dose_outlet,custom_dosing_data__flow,raw_sewage__time,raw_sewage__turbidity,raw_sewage__ph,raw_sewage__cod,raw_sewage__tss,raw_sewage__ammonia,raw_sewage__phosphate,raw_sewage__bod,raw_sewage__fst,pst_outlet__time,pst_outlet__turbidity,pst_outlet__ph,pst_outlet__cod,pst_outlet__tss,pst_outlet__ammonia,pst_outlet__bod,at__time,at__ph,at__mlss,at__do,at__percent_settlement,at__svi,fst__time,fst__turbidity,fst__ph,fst__cod,fst__tss,fst__ammonia,fst__phosphate,fst__do,fst__bod,remarks,date
62ea3a2f4444d6001274b8cc,2022-08-02T18:30:10.727Z,False,automatic,,30.0,0.890625,,,7.6,,400,45,4.5,173.0,,,,7.4,,188.0,,,,7.8,1650.0,0.82,12,72.72727272727272,,,7.9,,15,10.0,1.5,1.64,9.0,,2022-07-28
62ea3b654444d6001274b972,2022-08-02T18:30:10.727Z,False,automatic,,30.0,1.0390625,,,7.5,,552,35,4.5,380.0,,,,7.4,,240.0,,,,7.6,2260.0,1.12,15,66.3716814159292,,,7.7,,19,15.0,2.0,2.04,11.0,,2022-07-29
62ea3e224444d6001274b9e4,2022-08-02T18:30:10.727Z,False,automatic,,30.0,1.09375,,,7.6,1120.0,508,40,4.0,,,,,7.5,,212.0,,,,7.7,1910.0,0.98,10,52.35602094240838,,,7.8,52.0,30,10.0,1.5,1.35,,,2022-07-30
62ea3e8b4444d6001274ba19,2022-08-02T18:30:10.727Z,False,automatic,,30.0,0.95703125,,,7.3,668.0,332,45,5.5,,,,,7.6,,156.0,,,,7.5,3410.0,1.04,50,146.6275659824047,,,7.6,56.0,28,15.0,2.5,2.08,,,2022-07-31
63034b544a6a200011d4de2e,2022-08-21T18:30:11.118Z,False,automatic,0.0,30.0,1.0703125,,,7.5,720.0,404,40,2.0,177.0,,,,7.6,,196.0,,91.0,,7.5,1490.0,0.9,9,60.40268456375839,,,7.6,48.0,16,10.0,1.0,1.22,12.0,,2022-08-01
63034bd04a6a200011d4de7e,2022-08-21T18:30:11.118Z,False,automatic,,30.0,1.015625,,,7.5,860.0,480,45,2.5,280.0,,,,7.4,,180.0,,,,7.6,2240.0,1.42,14,62.5,,,7.7,56.0,22,15.0,1.0,1.6,14.0,,2022-08-02
63034c5d4a6a200011d4dece,2022-08-21T18:30:11.118Z,False,automatic,,30.0,1.125,,,7.6,,484,40,2.5,298.0,,,,7.5,,144.0,,,,7.5,1910.0,1.04,14,73.29842931937172,,,7.6,,20,10.0,0.5,1.84,12.0,,2022-08-03
63034d984a6a200011d4df6f,2022-08-21T18:30:11.118Z,False,automatic,,30.0,1.078125,,,7.6,920.0,700,55,4.0,373.0,,,,7.5,,200.0,,,,7.7,1650.0,0.86,10,60.60606060606061,,,7.8,60.0,24,15.0,1.0,1.24,15.0,,2022-08-04
63034e044a6a200011d4dfbf,2022-08-21T18:30:11.118Z,False,automatic,,30.0,1.171875,,,7.6,640.0,340,35,2.5,180.0,,,,7.5,0.0,172.0,,,,7.6,730.0,0.84,8,109.5890410958904,,,7.8,28.0,12,10.0,0.5,1.84,8.0,,2022-08-05
63034f0b4a6a200011d4e019,2022-08-21T18:30:11.118Z,False,automatic,,30.0,1.1015625,,,7.6,,344,40,3.5,227.0,,,,7.5,,144.0,,,,7.5,3200.0,0.82,24,75.0,,,7.7,,17,10.0,1.5,2.5,12.0,,2022-08-06
630350134a6a200011d4e069,2022-08-21T18:30:11.118Z,False,automatic,,30.0,1.125,,,7.5,,332,35,3.0,265.0,,,,7.5,,172.0,,,,7.6,840.0,1.04,6,71.42857142857143,,,7.8,,10,10.0,1.0,2.32,7.0,,2022-08-07
630350d14a6a200011d4e0b9,2022-08-21T18:30:11.118Z,False,automatic,,30.0,0.91796875,,,7.3,,384,40,3.5,162.0,,,,7.4,,156.0,,,,7.6,910.0,0.84,10,109.89010989010988,,,7.7,,12,15.0,1.0,1.52,11.0,,2022-08-08
6303532d4a6a200011d4e1e4,2022-08-21T18:30:11.118Z,False,automatic,,30.0,1.1328125,,,7.5,580.0,264,35,3.0,160.0,,,,7.4,,128.0,,93.0,,7.6,420.0,0.44,2,47.61904761904761,,,7.7,36.0,13,15.0,1.0,0.81,10.0,,2022-08-09
630355bf4a6a200011d4e2b6,2022-08-21T18:30:11.118Z,False,automatic,,30.0,1.09375,,,7.6,,400,40,3.0,180.0,,,,7.5,,120.0,,,,7.6,480.0,1.0,5,104.16666666666669,,,7.8,,13,15.0,1.5,2.88,10.0,,2022-08-10
630357db4a6a200011d4e31d,2022-08-21T18:30:11.118Z,False,automatic,,30.0,1.0625,,,7.5,,392,45,3.5,223.0,,,,7.5,,124.0,,,,7.7,320.0,1.08,3,93.75,,,7.6,,9,5.0,1.0,3.32,7.0,,2022-08-11
630469b5906fca0011434476,2022-08-22T18:30:11.691Z,False,automatic,,30.0,1.0625,,,7.6,608.0,300,45,4.0,180.0,,,,7.5,,132.0,,94.0,,7.7,1320.0,1.02,8,60.60606060606061,,,7.7,48.0,13,10.0,1.5,1.48,10.0,,2022-08-12
63046d98906fca0011434577,2022-08-22T18:30:11.691Z,False,automatic,,30.0,1.078125,,,7.5,,208,35,2.5,160.0,,,,7.4,,104.0,,,,7.6,260.0,0.72,1,38.46153846153847,,,7.7,,10,5.0,1.0,1.88,6.0,,2022-08-13
63046ef9906fca00114345df,2022-08-22T18:30:11.691Z,False,automatic,,30.0,1.0625,,,7.5,,284,30,3.0,168.0,,,,7.6,,156.0,,,,7.6,310.0,1.8,2,64.51612903225806,,,7.7,,11,10.0,1.5,3.2,7.0,,2022-08-14
6305f0c427c0c20013f25222,2022-08-23T18:30:11.968Z,False,automatic,,30.0,1.046875,,,7.6,,292,35,3.5,180.0,,,,7.6,,144.0,,,,7.8,340.0,1.02,2,58.8235294117647,,,7.7,,15,10.0,1.5,2.48,10.0,,2022-08-15
6305f12127c0c20013f25272,2022-08-23T18:30:11.968Z,False,automatic,,30.0,1.0703125,,,7.4,680.0,240,35,3.0,156.0,,,,7.4,,196.0,,,,7.6,490.0,1.08,2,40.81632653061224,,,7.8,48.0,12,15.0,1.0,2.26,10.0,,2022-08-16
6305f17627c0c20013f252c2,2022-08-23T18:30:11.968Z,False,automatic,,30.0,1.0390625,,,7.3,,356,40,3.0,179.0,,,,7.5,,180.0,,,,7.6,620.0,1.04,5,80.64516129032258,,,7.7,,16,15.0,1.5,3.6,11.0,,2022-08-17
